Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
T5X,"An open-source,machine learningframework designed
to build andtrainlarge-scale natural language processing
(NLP) models.T5is implemented on the T5X codebase (which is
built onJAXandFlax).",,"['Flax', 'JAX', 'machine learning', 'model', 'T5']",,false,"(T5X|\s(\s|\.|\,))"
SavedModel,"The recommended format for saving and recovering TensorFlow models. SavedModel
is a language-neutral, recoverable serialization format, which enables
higher-level systems and tools to produce, consume, and transform TensorFlow
models. See theSaving and Restoring chapterin the TensorFlow Programmer's Guide for complete details.",,"['model', 'Tensor', 'TensorFlow']",,false,"(SavedModel|\s(\s|\.|\,))"
T5,"A text-to-texttransfer learningmodelintroduced byGoogle AI in 2020.
T5 is anencoder-decodermodel, based on theTransformerarchitecture, trained on an extremely large
dataset. It is effective at a variety of natural language processing tasks,
such as generating text, translating languages, and answering questions in
a conversational manner. T5 gets its name from the five T's in ""Text-to-Text Transfer Transformer.""",,"['decoder', 'encoder', 'model', 'task', 'transfer learning', 'Transformer']",,false,"(T5|\s(\s|\.|\,))"
Root Mean Squared Error (RMSE),The square root of theMean Squared Error.,RMSE,"['root']",,false,"(Root(\s|-)?Mean(\s|-)?Squared(\s|-)?Error(\s|-)?()|\sRMSE(\s|\.|\,)|\s(\s|\.|\,))"
host,"When training an ML model onaccelerator chips(GPUs orTPUs), the part of the system
that controls both of the following: The host typically runs on a CPU, not on an accelerator chip; thedevicemanipulatestensorson the
accelerator chips.",,"['accelerator chip', 'device', 'model', 'Tensor', 'test', 'training', 'Tensor Processing Unit']",,false,"(host|\s(\s|\.|\,))"
language model,"Amodelthat estimates the probability of atokenor sequence of tokens occurring in a longer sequence of tokens. Though counterintuitive, many models that evaluate text are notlanguage models. For example, text classification models and sentiment
analysis models are notlanguage models.",,"['class', 'classification model', 'model', 'token']",,false,"(language(\s|-)?model|\s(\s|\.|\,))"
TensorFlow Playground,"A program that visualizes how differenthyperparametersinfluence model
(primarily neural network) training.
Go tohttp://playground.tensorflow.orgto experiment with TensorFlow Playground.",,"['hyperparameter', 'model', 'neural network', 'parameter', 'Tensor', 'TensorFlow', 'training']",,false,"(TensorFlow(\s|-)?Playground|\s(\s|\.|\,))"
minority class,"The less common label in aclass-imbalanced dataset. For example,
given a dataset containing 99% negative labels and 1% positive labels, the
positive labels are the minority class. Contrast withmajority class. A training set with a millionexamplessounds
impressive. However, if the minority class is poorly represented,
then even a very large training set might be insufficient. Focus less
on the total number of examples in the dataset and more on the number of
examples in the minority class. If your dataset doesn't contain enough minority class examples, consider
usingdownsampling(the definition
in the second bullet) to supplement the minority class. ",,"['class', 'class-imbalanced dataset', 'downsampling', 'imbalanced dataset', 'label', 'majority class', 'training', 'training set']",,false,"(minority(\s|-)?clas|\s(\s|\.|\,))"
hierarchical clustering,"A category of clustering algorithms that create a tree
of clusters. Hierarchical clustering is well-suited to hierarchical data,
such as botanical taxonomies. There are two types of hierarchical
clustering algorithms",,"['centroid', 'centroid-based clustering', 'clustering']",,false,"(hierarchical(\s|-)?cluster|\s(\s|\.|\,))"
out-of-bag evaluation (OOB evaluation),"A mechanism for evaluating the quality of adecision forestby testing eachdecision treeagainst theexamplesnotused duringtrainingof that decision tree. For example, in the
following diagram, notice that the system trains each decision tree
on about two-thirds of the examples and then evaluates against the
remaining one-third of the examples.  Out-of-bag evaluation is a computationally efficient and conservative
approximation of thecross-validationmechanism.
In cross-validation, one model is trained for each cross-validation round
(for example, 10 models are trained in a 10-fold cross-validation).
With OOB evaluation, a single model is trained. Becausebaggingwithholds some data from each tree during training, OOB evaluation can use
that data to approximate cross-validation.",,"['bagging', 'cross-validation', 'decision forest', 'decision tree', 'evaluation', 'model', 'test', 'training', 'validation']",,false,"(out(\s|-)?of(\s|-)?bag(\s|-)?evaluation(\s|-)?|\s(\s|\.|\,))"
prior belief,"What you believe about the data before you begin training on it.
For example,L2regularizationrelies on
a prior belief thatweightsshould be small and normally
distributed around zero. ",,"['L2regularization', 'regularization', 'training', 'weight']",,false,"(prior(\s|-)?belief|\s(\s|\.|\,))"
perplexity,"One measure of how well amodelis accomplishing its task.
For example, suppose your task is to read the first few letters of a word
a user is typing on a phone keyboard, and to offer a list of possible
completion words. Perplexity, P, for this task is approximately the number
of guesses you need to offer in order for your list to contain the actual
word the user is trying to type. Perplexity is related tocross-entropyas follows: ",,"['cross-entropy', 'entropy', 'model', 'task']",,false,"(perplexity|\s(\s|\.|\,))"
prompt,"Any text entered as input to a large language model to condition the model to behave in a certain way. A generative AI model can respond to a prompt with text, code, images,embeddings, videos…almost anything.",,"['condition', 'generative AI', 'language model', 'large language model', 'model']",,false,"(prompt|\s(\s|\.|\,))"
prompt engineering,"The art of creating prompts that elicit the desired responses from a large language model. Humans perform prompt
engineering. Writing well-structured prompts is an essential part of ensuring
useful responses from a large language model. ",,"['language model', 'large language model', 'model', 'prompt', 'prompt design']",,false,"(prompt(\s|-)?engineer|\s(\s|\.|\,))"
replica,"A copy of thetraining setormodel,
typically on another machine. For example, a system could use the following
strategy for implementingdata parallelism:",,"['data parallelism', 'model', 'training', 'training set']",,false,"(replica|\s(\s|\.|\,))"
reporting bias,"The fact that the frequency with which people write about actions,
outcomes, or properties is not a reflection of their real-world
frequencies or the degree to which a property is characteristic
of a class of individuals. Reporting bias can influence the composition
of data that machine learning systems learn from. For example, in books, the wordlaughedis more prevalent thanbreathed. A machine learning model that estimates the relative frequency of
laughing and breathing from a book corpus would probably determine
that laughing is more common than breathing. ",,"['action', 'class', 'machine learning', 'model']",,false,"(reporting(\s|-)?bia|\s(\s|\.|\,))"
log-odds,"The logarithm of the odds of some event. If the event is a binary probability, thenoddsrefers to
the ratio of the probability of success (p) to the probability of
failure (1-p). For example, suppose that a given event has a 90%
probability of success and a 10% probability of failure. In this case,
odds is calculated as follows: The log-odds is simply the logarithm of the odds. By convention,
""logarithm"" refers tonatural logarithm,
but logarithm could actually be any base greater than 1.
Sticking to convention, the log-odds of our example is therefore: The log-odds function is the inverse of thesigmoid function.",,"['sigmoid function']",,false,"(log(\s|-)?odds|\s(\s|\.|\,))"
reinforcement learning (RL),"A family of algorithms that learn an 'optimal policy', whose goal
is to 'maximize return' when interacting with
an 'environment'.
For example, the ultimate reward (maximize return) of most games is victory.
Reinforcement learning systems can become expert at playing complex games by evaluating sequences of previous game moves that ultimately led to wins and sequences that ultimately led to losses.",,"['environment', 'loss', 'policy', 'return', 'reward', 'intersection over union']",,false,"(reinforcement(\s|-)?learning(\s|-)?|\s(\s|\.|\,))"
